itemNumber,path,url,main,show
100.311UK,1/0/100311UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100311UK_CO2.jpg,0,1
100.311UK,1/0/100311UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100311UK_LS1.jpg,0,1
100.311UK,1/0/100311UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100311UK_LS2.jpg,0,1
100.311UK,1/0/100311UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100311UK_LS3.jpg,0,1
100.315UK,1/0/100315UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100315UK_LS2.jpg,0,1
100.315UK,1/0/100315UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100315UK_LS3.jpg,0,1
100.315UK,1/0/100315UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100315UK_LS1.jpg,0,1
100.315UK,1/0/100315UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100315UK_CO1.jpg,1,1
100.316UK,1/0/100316UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100316UK_CO1.jpg,1,1
100.316UK,1/0/100316UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100316UK_LS2.jpg,0,1
100.316UK,1/0/100316UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100316UK_LS1.jpg,0,1
100.331UK,1/0/100331UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100331UK_CO1.jpg,0,1
100.331UK,1/0/100331UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100331UK_CO2.jpg,1,1
100.331UK,1/0/100331UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100331UK_LS1.jpg,0,1
100.331UK,1/0/100331UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100331UK_LS2.jpg,0,1
100.363UK,1/0/100363UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100363UK_LS1.jpg,0,1
100.363UK,1/0/100363UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100363UK_CO1.jpg,0,1
100.363UK,1/0/100363UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100363UK_CO2.jpg,1,1
100.363UK,1/0/100363UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100363UK_IN1.jpg,0,1
100.364UK,1/0/100364UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100364UK_CO1.jpg,0,1
100.364UK,1/0/100364UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100364UK_CO2.jpg,1,1
100.364UK,1/0/100364UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100364UK_IN1.jpg,0,1
100.364UK,1/0/100364UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100364UK_LS1.jpg,0,1
100.439UK,1/0/100439UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100439UK_LS1.jpg,0,1
100.439UK,1/0/100439UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100439UK_LS2.jpg,0,1
100.439UK,1/0/100439UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100439UK_CO1.jpg,1,1
100.530UK,1/0/100530UK_CO1.JPG,https://www.avsl.com/assets/images/1/0/100530UK_CO1.JPG,0,1
100.530UK,1/0/100530UK_CO2.JPG,https://www.avsl.com/assets/images/1/0/100530UK_CO2.JPG,1,1
100.530UK,1/0/100530UK_CO3.JPG,https://www.avsl.com/assets/images/1/0/100530UK_CO3.JPG,0,0
100.530UK,1/0/100530UK_CO4.JPG,https://www.avsl.com/assets/images/1/0/100530UK_CO4.JPG,0,1
100.530UK,1/0/100530UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100530UK_LS2.jpg,0,1
100.530UK,1/0/100530UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100530UK_LS3.jpg,0,0
100.530UK,1/0/100530UK_LS4.jpg,https://www.avsl.com/assets/images/1/0/100530UK_LS4.jpg,0,0
100.530UK,1/0/100530UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100530UK_IN1.jpg,0,1
100.547UK,1/0/100547UK_PS1.jpg,https://www.avsl.com/assets/images/1/0/100547UK_PS1.jpg,0,1
100.547UK,1/0/100547UK_CO1.jpg,https://www.avsl.com/assets/images/1/0/100547UK_CO1.jpg,1,1
100.547UK,1/0/100547UK_LS3.jpg,https://www.avsl.com/assets/images/1/0/100547UK_LS3.jpg,0,0
100.547UK,1/0/100547UK_CO2.jpg,https://www.avsl.com/assets/images/1/0/100547UK_CO2.jpg,0,1
100.547UK,1/0/100547UK_LS1.jpg,https://www.avsl.com/assets/images/1/0/100547UK_LS1.jpg,0,0
100.547UK,1/0/100547UK_LS2.jpg,https://www.avsl.com/assets/images/1/0/100547UK_LS2.jpg,0,0
100.547UK,1/0/100547UK_LS4.jpg,https://www.avsl.com/assets/images/1/0/100547UK_LS4.jpg,0,1
100.547UK,1/0/100547UK_LS6.jpg,https://www.avsl.com/assets/images/1/0/100547UK_LS6.jpg,0,1
100.547UK,1/0/100547UK_LS5.jpg,https://www.avsl.com/assets/images/1/0/100547UK_LS5.jpg,0,0
100.547UK,1/0/100547UK_IN1.jpg,https://www.avsl.com/assets/images/1/0/100547UK_IN1.jpg,0,1
100.550UK,1/0/100550UK_GS4.jpg,https://www.avsl.com/assets/images/1/0/100550UK_GS4.jpg,0,0
100.550UK,1/0/100550UK_GLS2.jpg,https://www.avsl.com/assets/images/1/0/100550UK_GLS2.jpg,0,0
100.550UK,1/0/100550UK_GLS4.jpg,https://www.avsl.com/assets/images/1/0/100550UK_GLS4.jpg,0,0
100.550UK,1/0/100550UK_GLS1.jpg,https://www.avsl.com/assets/images/1/0/100550UK_GLS1.jpg,0,0
100.550UK,1/0/100550UK_LS4.jpg,https://www.avsl.com/assets/images/1/0/100550UK_LS4.jpg,0,0
100.550UK,1/0/100550UK_GLS5.jpg,https://www.avsl.com/assets/images/1/0/100550UK_GLS5.jpg,0,0
